Sector: Crude Oil,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),Year Ending,Net Sales (Rs. Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Kothari Petrochemicals Ltd.,KOTHARIPET,Petrochemicals,614.65,1,2023-03,22.42,622.5,2023-03,482.15,39.18,1,2023-03,15.69,0.49,3.21,0.12,22.57,30.3,"KOTHARIPET,"
Selan Exploration Technology Ltd.,SELAN,Oil Exploration,545,1,2023-03,,520.73,2022-03,77.31,9.92,1,2023-03,17.67,7.5,1.51,0,3.03,3.88,"SELAN,"
Asian Energy Services Ltd.,530355,Oil Exploration,481.64,2,2023-03,19.14,473.86,2022-03,260.47,38.81,2,2023-03,0,0,2.5,0.03,17.47,18.23,"530355,"
Vikas Lifecare Ltd.,VIKASLIFE,Petrochemicals,441.41,2,2023-03,30.41,471.82,2022-03,300.92,28.95,2,2023-03,0,,1.33,0.12,21.76,24.93,"VIKASLIFE,"
Deep Energy Resources Ltd.,DEEPENR,Oil Exploration,387.84,2,2023-03,33.99,420.62,2022-03,2.65,0.46,2,2023-03,187.77,,0.97,0.02,0.11,0.18,"DEEPENR,"
Oricon Enterprises Ltd.,ORICONENT,Petrochemicals,357.75,2,2023-03,85.04,425.76,2022-03,509.83,146.02,2,2023-03,24.09,,0.43,0.17,17.51,16.52,"ORICONENT,"
Multibase India Ltd.,526169,Petrochemicals,327.99,1,2023-03,,223.64,2022-03,62.48,6.34,1,2023-03,33.51,,2.6,0,5.49,7.53,"526169,"
Aban Offshore Ltd.,ABAN,Oil Exploration,231.19,2,2023-03,15134.84,15217.52,2022-03,598.34,-2175.98,2,2023-03,0,,-0.01,-0.78,0,0,"ABAN,"
Gujarat Natural Resources Ltd.,513536,Oil Exploration,106.41,2,2023-03,35.85,142.27,2022-03,8.39,-4.09,2,2023-03,0,,0.94,0.18,-4.15,-2.74,"513536,"
Aakash Exploration Services Ltd.,AAKASH,Oil Exploration,58.73,1,2023-03,18.27,76.99,2022-03,76.88,6.12,1,2023-03,12.94,0.31,1.12,0.34,13.72,15.51,"AAKASH,"
SVC Industries Ltd.,524488,Petrochemicals,41.59,1,2023-06,175.3,216.89,2022-03,0.44,-2.66,1,2023-03,0,,0.15,0.63,-0.97,-0.59,"524488,"
Continental Petroleums Ltd.,523232,Refineries,30.43,1,2023-03,11.69,39.36,2022-03,121.21,4.07,1,2023-03,7.72,0.15,1.42,0.66,26.47,23.22,"523232,"
Hindustan Fluorocarbons Ltd.,524013,Petrochemicals,26.99,1,2023-03,123.64,119.8,2022-03,0,-6.13,1,2023-03,0,,-0.24,-1.14,0,-32.02,"524013,"
Duke Offshore Ltd.,531471,Oil Exploration,8.77,1,2023-03,0.33,9.1,2022-03,1.46,-4.11,1,2023-03,0,,1.77,0.07,-49.56,-43.42,"531471,"
Dolphin Offshore Enterprises (India) Ltd.,DOLPHINOFF,Oil Exploration,7.01,1,2023-03,18.02,24.36,2022-03,,-2.44,2,2018-03,0,0,,-4.45,0,-2.38,"DOLPHINOFF,"
Southern Online Bio Technologies Ltd.,532669,Petrochemicals,4.18,1,2023-03,66.23,69.95,2022-03,2.48,0.23,1,2021-09,7.94,0.53,-0.03,0.66,0.46,0.32,"532669,"
