Sector: Banking,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Year Ending,Interest Earned (Rs Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),Price To Book Value(TTM),Return On Equity(%),Net NPA Statement,Net NPA Year Ending,Net NPA (%),Net Interest Margin (%),Yield On Advances (%),Current A/c Savings A/c (%),Symbol with Comma for External Upload
Union Bank Of India,UNIONBANK,Bank - Public,61608.41,2,2023-03,81163.18,8430.34,2,2023-06,6.04,0.81,12.17,1,2023-03,1.7,2.7,10.6,35.26,"UNIONBANK,"
IDFC First Bank Ltd.,IDFCFIRSTB,Bank - Private,55676.22,2,2022-03,17172.69,132.31,2,2023-03,22.41,2.16,0.68,1,2022-03,1.53,5.4,14.57,48.44,"IDFCFIRSTB,"
Indian Overseas Bank,IOB,Bank - Public,49581.03,2,2023-03,19406.97,2103.99,2,2023-03,23.62,2.25,10.03,1,2023-03,1.83,2.82,10.9,43.74,"IOB,"
Yes Bank Ltd.,YESBANK,Bank - Private,48683.7,2,2023-03,22702.16,735.82,2,2023-06,63.36,1.21,2,1,2023-03,0.83,2.64,11.17,30.76,"YESBANK,"
AU Small Finance Bank Ltd.,AUBANK,Bank - Private,48341.94,1,2023-03,8205.41,1427.93,1,2023-06,31.25,4.27,15.52,1,2023-03,0.42,5.03,14.05,38.43,"AUBANK,"
Indian Bank,INDIANB,Bank - Public,42650.13,2,2023-03,44985.16,5330.48,2,2023-06,6.98,0.95,12.98,1,2023-03,2.27,2.95,10,41.99,"INDIANB,"
Bandhan Bank Ltd.,BANDHANBNK,Bank - Private,34963.71,1,2023-03,15904.7,2194.64,1,2023-06,17.23,1.72,11.88,1,2023-03,1.17,6.37,15.18,39.29,"BANDHANBNK,"
Bank Of India,BANKINDIA,Bank - Public,34428.92,2,2023-03,47931.69,3882.09,2,2023-03,8.98,0.64,7.54,1,2023-03,1.66,2.62,9.81,38.41,"BANKINDIA,"
UCO Bank,UCOBANK,Bank - Public,34409.25,2,2023-03,17650.52,1862.34,2,2023-06,17.79,1.51,8.56,1,2023-03,1.29,2.62,11.32,36.79,"UCOBANK,"
The Federal Bank Ltd.,FEDERALBNK,Bank - Private,31800.61,2,2023-03,17811.78,3175.76,2,2023-06,9.32,1.22,15.36,1,2023-03,0.69,3,9.63,32.86,"FEDERALBNK,"
Central Bank Of India,CENTRALBK,Bank - Public,26199.08,2,2023-03,25657.1,1609.33,2,2023-06,13.78,1.01,6.52,1,2023-03,1.77,3.05,12.58,50.46,"CENTRALBK,"
Bank Of Maharashtra,MAHABANK,Bank - Public,23949.21,2,2023-03,15898.6,2602.79,2,2023-06,7.89,1.48,19.42,1,2023-03,,2.99,9.29,53.38,"MAHABANK,"
Punjab & Sind Bank,PSB,Bank - Public,22427.7,1,2023-03,7992.73,1313.03,1,2023-03,17.08,1.58,9.62,1,2023-03,1.84,2.32,10.4,33.59,"PSB,"
RBL Bank Ltd.,RBLBANK,Bank - Private,14026.92,2,2022-03,8444.86,-166.15,2,2023-06,13.61,1.01,-1.32,1,2022-03,1.34,4.03,13.62,35.29,"RBLBANK,"
Equitas Small Finance Bank Ltd.,EQUITASBNK,Bank - Private,11007.67,1,2022-03,3459.67,280.73,1,2023-03,19.19,2.13,7.35,1,2022-03,2.37,7.85,17.86,52.01,"EQUITASBNK,"
Karur Vysya Bank Ltd.,KARURVYSYA,Bank - Private,9951.68,1,2022-03,5587.67,673.27,1,2023-06,8.05,1.11,9.25,1,2022-03,2.28,3.5,10.1,34.81,"KARURVYSYA,"
City Union Bank Ltd.,CUB,Bank - Private,9921.58,1,2022-03,4104.78,760.17,1,2023-03,10.58,1.33,12.23,1,2022-03,2.95,3.23,10.17,32.56,"CUB,"
Ujjivan Small Finance Bank Ltd.,UJJIVANSFB,Bank - Private,8658.06,1,2023-03,4164.99,1099.92,1,2023-06,7.09,2.02,33.75,1,2023-03,0.04,8.36,19.56,26.41,"UJJIVANSFB,"
The Jammu & Kashmir Bank Ltd.,J&KBANK,Bank - Private,6976.93,2,2022-03,8012.98,504.44,2,2023-06,5.17,0.68,7.84,1,2022-03,2.49,3.46,11.38,56.56,"J&KBANK,"
Tamilnad Mercantile Bank Ltd.,TMB,Bank - Private,6968.26,1,2022-03,3833.86,821.91,1,2023-06,6.6,0.97,16.58,1,2022-03,1.98,3.6,11.45,30.5,"TMB,"
The Karnataka Bank Ltd.,KTKBANK,Bank - Private,6364.93,2,2022-03,6221.66,507.99,2,2023-03,5.4,0.83,7.93,1,2022-03,2.42,2.99,10.96,32.97,"KTKBANK,"
Utkarsh Small Finance Bank Ltd.,UTKARSHBNK,Bank - Private,5616.51,1,2023-03,2504.98,404.5,1,2023-03,13.88,2.26,22.8,1,2023-03,0.39,8.29,19.17,20.89,"UTKARSHBNK,"
CSB Bank Ltd.,CSBBANK,Bank - Private,5084.87,1,2023-03,2319.65,547.36,1,2023-06,9,1.61,19.84,1,2023-03,0.35,4.71,11.23,32.18,"CSBBANK,"
The South Indian Bank Ltd.,SOUTHBANK,Bank - Private,4147.81,2,2022-03,6586.54,44.81,2,2023-06,4.81,0.6,0.77,1,2022-03,2.97,2.42,10.98,33.21,"SOUTHBANK,"
DCB Bank Ltd.,DCBBANK,Bank - Private,4009.39,1,2023-03,4200.27,465.56,1,2023-03,8.61,0.94,11.51,1,2023-03,1.04,3.48,12.22,26.42,"DCBBANK,"
Fino Payments Bank Ltd.,FINOPB,Bank - Private,2861.74,1,2022-03,35.63,42.74,1,2023-03,43.97,5.28,13.63,1,2022-03,,1.45,0,100,"FINOPB,"
Suryoday Small Finance Bank Ltd.,SURYODAY,Bank - Private,1868.42,1,2022-03,941.82,-93.03,1,2023-03,24.05,1.18,-6.04,1,2022-03,5.97,7.51,19.82,18.81,"SURYODAY,"
Dhanlaxmi Bank Ltd.,DHANBANK,Bank - Private,530.57,1,2022-03,916.64,35.9,1,2023-03,10.75,0.66,4.83,1,2022-03,2.85,2.8,11.26,34.29,"DHANBANK,"
