Sector: Retailing,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),Year Ending,Net Sales (Rs. Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Heads UP Ventures Ltd.,HEADSUP,Retailing,26.45,1,2023-03,,26.45,2022-03,0.97,-5.36,1,2023-03,0,,1.46,0,-17.6,-16,"HEADSUP,"
SILGO Retail Ltd.,SILGO,Retailing,24.24,1,2023-03,18.72,42.96,2022-03,35.1,2.31,1,2023-03,10.31,0.16,0.79,0.68,8.47,9.79,"SILGO,"
Future Enterprises Ltd.-B-DVR,FELDVR,Retailing,23.51,1,,,23.51,-0,,,1,2015-03,0.32,,,,,,"FELDVR,"
Taaza International Ltd.,537392,Retailing,10.05,2,2023-03,,10.05,2022-03,,-0.17,2,2023-03,0,,1.03,0,-1.71,-2.01,"537392,"
Shantiguru Industries Ltd.,534708,Retailing,9.66,1,2023-03,0.36,10.02,2022-03,,-0.65,1,2023-03,0,,0.69,0.03,-4.55,-4.42,"534708,"
Mafia Trends Ltd.,543613,Retailing,6.69,1,2023-03,1.96,8.65,2022-03,7.15,0.82,1,2023-03,32.5,,0.92,0.62,28.64,26.23,"543613,"
eDynamics Solutions Ltd.,535694,Retailing,4.19,1,2022-09,0.89,5.08,2021-03,,-0.01,1,2021-12,0,,,0.03,-0.02,-0.02,"535694,"
Sabrimala Industries India Ltd.,540132,Retailing,4.08,2,2023-03,,4.08,2022-03,0.01,-0.16,2,2023-03,0,,0.66,0,-2.39,-2.39,"540132,"
NB Footwear Ltd.,523242,Footwear,3.98,1,2023-03,,3.98,2022-03,0,-0.13,1,2023-06,0,,-1.77,0,0,0,"523242,"
Chandni Machines Ltd.,542627,Retailing,3.81,1,2023-03,,1.68,2022-03,149.05,1.56,1,2023-03,10.88,,0.54,0,26.37,35.91,"542627,"
Mayur Leather Products Ltd.,531680,Footwear,3.6,2,2022-03,3.41,6.7,2022-03,9.27,-0.51,1,2022-06,0,0,1.04,0.87,-12.38,0.16,"531680,"
JLA Infraville Shoppers Ltd.,538765,Retailing,2.49,1,2023-03,,2.49,2022-03,0.46,0.06,1,2023-03,12.72,,0.32,0,0.87,1.14,"538765,"
