Sector: Construction Materials,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),Year Ending,Net Sales (Rs. Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Birla Corporation Ltd.,BIRLACORPN,Cement & Construction Materials,9133.99,2,2023-03,4349.66,13265.36,2022-03,7461.22,398.59,2,2023-03,226.96,16.56,1.54,0.82,8.16,8.66,"BIRLACORPN,"
JK Lakshmi Cement Ltd.,JKLAKSHMI,Cement & Construction Materials,7277.31,2,2023-03,1846.31,8784.66,2022-03,5419.89,477.62,2,2023-06,22.42,0.52,2.53,0.74,20.79,18.97,"JKLAKSHMI,"
The India Cements Ltd.,INDIACEM,Cement & Construction Materials,6650.39,2,2023-03,2939.53,9589.92,2022-03,4858.35,65.98,2,2023-03,0,,1.15,0.52,1.13,3.19,"INDIACEM,"
Borosil Renewables Ltd.,BORORENEW,Glass,6332.15,1,2023-03,416.49,6615.95,2022-03,644.22,165.85,2,2023-03,91.31,2.55,6.91,0.2,23.77,27.22,"BORORENEW,"
Prism Johnson Ltd.,PRSMJOHNSN,Cement & Construction Materials,6256.72,2,2023-03,1467.56,7397.61,2023-03,7360.52,-157.73,2,2023-03,0,,5.18,1.22,-12.47,0.68,"PRSMJOHNSN,"
Greenlam Industries Ltd.,GREENLAM,Laminates/Decoratives,6070.88,2,2023-03,569.87,6624.45,2023-03,2025.96,128.04,2,2023-06,44.29,3.01,6.05,0.59,15.78,14.78,"GREENLAM,"
Star Cement Ltd.,STARCEMENT,Cement & Construction Materials,5725.22,2,2023-03,26.1,5439.58,2022-03,2221.82,246.77,2,2023-03,23.23,4.79,2.38,0,11.63,12.06,"STARCEMENT,"
La Opala RG Ltd.,LAOPALA,Glass,5063.82,1,2023-03,12.2,5071.53,2022-03,322.69,87.37,1,2023-03,41.18,4.71,6.53,0.02,12.43,16.97,"LAOPALA,"
Greenpanel Industries Ltd.,GREENPANEL,Wood & Wood Products,4177.3,2,2023-03,190.43,3989.93,2023-03,1782.86,256.51,2,2023-06,19.32,0.04,3.5,0.16,23.91,28.26,"GREENPANEL,"
Heidelberg Cement India Ltd.,HEIDELBERG,Cement & Construction Materials,3956.67,1,2023-03,173.78,3638.49,2022-03,2296.96,252.26,1,2023-06,39.61,1.46,2.61,0.12,16.49,20.97,"HEIDELBERG,"
Somany Ceramics Ltd.,SOMANYCERA,Ceramics/Marble/Granite/Sanitaryware,3127.59,2,2023-03,488.37,3461.41,2022-03,2094.46,93.42,2,2023-03,43.49,,3.95,0.7,13.67,13.56,"SOMANYCERA,"
Orient Cement Ltd.,ORIENTCEM,Cement & Construction Materials,2980.84,1,2023-03,391.45,3302.18,2023-03,2937.55,122.82,1,2023-03,24.27,1.07,1.87,0.25,7.9,12,"ORIENTCEM,"
Stylam Industries Ltd.,STYLAMIND,Laminates/Decoratives,2748.47,2,2023-03,36.73,2758.48,2022-03,659.35,61.11,2,2023-03,28.48,,6.63,0.25,21.23,24.76,"STYLAMIND,"
Sagar Cements Ltd.,SAGCEM,Cement & Construction Materials,2726.56,2,2023-03,1472.12,3988.2,2023-03,2229.54,8.5,2,2023-06,0,0,1.71,0.9,0.59,7.5,"SAGCEM,"
Sanghi Industries Ltd.,SANGHIIND,Cement & Construction Materials,2248.21,1,2023-03,1530.69,3722.48,2022-03,1129.42,40.62,1,2023-03,0,,1.44,0.75,2.24,4.33,"SANGHIIND,"
HIL Ltd.,HIL,Cement & Construction Materials,2176.36,2,2023-03,406.73,2520.26,2023-03,3478.96,97.1,2,2023-03,22.51,5.99,1.76,0.33,8.07,8.78,"HIL,"
Kesoram Industries Ltd.,KESORAMIND,Cement & Construction Materials,2116.24,2,2023-03,1935.89,3942.16,2023-03,3778.05,-194.27,2,2023-06,0,0,4.8,4.09,-39.54,2.71,"KESORAMIND,"
Greenply Industries Ltd.,GREENPLY,Wood & Wood Products,2094.85,2,2023-03,663.42,2726.84,2022-03,1562.8,92.12,2,2023-06,29.32,,3.24,0.56,19.18,18.42,"GREENPLY,"
Jaiprakash Associates Ltd.,JPASSOCIAT,Cement & Construction Materials,1872.86,2,2023-03,16019.62,17395.6,2022-03,7034.13,-1498.32,2,2023-03,0,0,-1.66,220.99,-181.97,-2.14,"JPASSOCIAT,"
Ramco Industries Ltd.,RAMCOIND,Cement & Construction Materials,1573.41,2,2023-03,307.94,1807.92,2023-03,1457.52,106.14,2,2023-03,12.84,,0.41,0.08,2.78,3.49,"RAMCOIND,"
KCP Ltd.,KCP,Cement & Construction Materials,1448.43,2,2023-03,555.21,1362.39,2023-03,2253.65,89.76,2,2023-03,35,,1.19,0.45,7.47,7.37,"KCP,"
Udaipur Cement Works Ltd.,UDAICEMENT,Cement & Construction Materials,1408.07,1,2023-03,1145.46,2549.34,2023-03,1030.97,35.86,1,2023-06,53.13,2.34,1.76,3.31,11.2,7.19,"UDAICEMENT,"
Everest Industries Ltd.,EVERESTIND,Cement & Construction Materials,1372.48,2,2023-03,63.59,1421.82,2022-03,1364.71,44.09,2,2023-03,32.6,0.51,2.38,0,8.45,13.26,"EVERESTIND,"
Pokarna Ltd.,POKARNA,Ceramics/Marble/Granite/Sanitaryware,1205.13,2,2023-03,453.89,1628.62,2022-03,650.19,78.3,2,2023-03,18.26,8.33,2.37,1.15,19.37,17.14,"POKARNA,"
Shree Digvijay Cement Company Ltd.,SHREDIGCEM,Cement & Construction Materials,1181.49,2,2023-03,0,1073.48,2023-03,726.74,58.08,2,2023-06,20.23,,3.44,0,18.28,22.85,"SHREDIGCEM,"
Saint-Gobain Sekurit India Ltd.,515043,Glass,973.92,1,2023-03,5.28,976.24,2023-03,186.32,28.87,1,2023-06,33.52,2.1,5.39,0.03,16.01,21.11,"515043,"
Andhra Cements Ltd.,ACL,Cement & Construction Materials,919.79,1,2023-03,524.9,1391.73,2023-03,,949.61,1,2023-06,0.94,0.07,2.78,1.48,0,192.61,"ACL,"
Shiva Cement Ltd.,532323,Cement & Construction Materials,917.67,1,2023-03,1289.31,2204.3,2022-03,3.47,-25.52,1,2023-06,0,,-7.18,-18.77,0,-5.21,"532323,"
NCL Industries Ltd.,NCLIND,Cement & Construction Materials,871.64,2,2023-03,292.33,1123.73,2022-03,2045.93,94.35,2,2023-03,19.65,,1.12,0.5,13.43,16.47,"NCLIND,"
Mangalam Cement Ltd.,MANGLMCEM,Cement & Construction Materials,815.16,1,2023-03,611.53,1284.16,2023-03,1801.59,17.12,1,2023-03,47.61,1.81,1.08,0.81,2.29,6.87,"MANGLMCEM,"
Global Surfaces Ltd.,GSLSU,Ceramics/Marble/Granite/Sanitaryware,786.61,2,2023-03,120.82,793.84,2022-03,190.31,35.63,2,2023-03,32.3,,3,0.28,30.66,25.43,"GSLSU,"
Saurashtra Cement Ltd.,502175,Cement & Construction Materials,755.75,2,2023-03,62.83,741.51,2023-03,1645.29,-21.99,2,2023-03,0,,0.85,0.08,-2.63,-2.03,"502175,"
Orient Bell Ltd.,ORIENTBELL,Ceramics/Marble/Granite/Sanitaryware,704.41,2,2023-03,1.87,702.99,2023-03,705.07,22.49,2,2023-06,49.73,17.69,2.32,0.01,7.67,10.65,"ORIENTBELL,"
Visaka Industries Ltd.,VISAKAIND,Cement & Construction Materials,696.85,2,2023-03,387.29,1052.2,2023-03,1653.42,53.59,2,2023-03,13.03,,0.91,0.5,7.13,9.32,"VISAKAIND,"
Deccan Cements Ltd.,DECCANCE,Cement & Construction Materials,663.47,1,2023-03,265.31,715.16,2022-03,791.84,87.57,1,2023-03,13.46,0.76,0.97,0.26,14.47,17.25,"DECCANCE,"
Asian Granito India Ltd.,ASIANTILES,Ceramics/Marble/Granite/Sanitaryware,577.83,2,2023-03,214.38,581.88,2022-03,1563.82,91.59,2,2023-03,0,0,0.46,0.21,11.89,13.77,"ASIANTILES,"
Anjani Portland Cement Ltd.,APCL,Cement & Construction Materials,572.66,2,2023-03,435.67,1007.24,2022-03,801.26,41.99,2,2023-03,0,0,1.71,1.56,20.82,15.38,"APCL,"
Exxaro Tiles Ltd.,EXXARO,Ceramics/Marble/Granite/Sanitaryware,528.62,2,2023-03,93.95,619.13,2023-03,317.09,7.27,2,2023-03,72.7,,1.93,0.34,2.69,5.62,"EXXARO,"
Empire Industries Ltd.,509525,Glass,474.39,1,2023-03,169.53,570.35,2022-03,544.04,23.69,1,2023-03,13.35,,1.67,0.87,9.43,11.45,"509525,"
Haldyn Glass Ltd.,515147,Glass,462.75,2,2023-03,42.94,479.61,2022-03,212.76,10.87,2,2023-03,17.19,8.77,2.61,0.05,7.31,9.26,"515147,"
Sahyadri Industries Ltd.,SAHYADRI,Cement & Construction Materials,439.28,1,2023-03,124.06,557.26,2023-03,593.81,37.11,1,2023-03,11.84,1.06,1.31,0.37,11.61,14.38,"SAHYADRI,"
Oriental Rail Infrastructure Ltd.,531859,Wood & Wood Products,355.17,2,2023-03,286.98,642.15,2022-03,172.6,15.59,2,2023-06,72.47,4.81,3.14,1.71,16.04,10.08,"531859,"
Murudeshwar Ceramics Ltd.,MURUDCERA,Ceramics/Marble/Granite/Sanitaryware,237.13,2,2023-03,118.11,353.5,2022-03,122.92,2.15,2,2023-03,34.5,,0.68,0.24,0.63,4.04,"MURUDCERA,"
Sejal Glass Ltd.,SEJALLTD,Glass,232.3,1,2023-03,31.28,262.03,2022-03,24.33,146.96,2,2023-03,29.59,2.51,-39.31,-2.41,0,0,"SEJALLTD,"
Shri Keshav Cements & Infra Ltd.,530977,Cement & Construction Materials,204.59,1,2023-03,180.17,376.31,2022-03,113.79,9.1,1,2023-03,70.38,1.81,2.91,9.97,53.03,12.44,"530977,"
Kanoria Energy & Infrastructure Ltd.,539620,Cement & Construction Materials,175.87,1,2023-03,107.38,278.56,2022-03,285.33,12.39,1,2023-03,18.42,0.17,2.13,1.09,18.33,16.58,"539620,"
Kakatiya Cement Sugar & Industries Ltd.,KAKATCEM,Cement & Construction Materials,162.2,1,2023-03,83.48,199.49,2022-03,154.4,19.36,1,2023-03,0,,0.71,0.15,8.52,11.46,"KAKATCEM,"
Duroply Industries Ltd.,516003,Wood & Wood Products,159.15,1,2023-03,41.46,197.18,2023-03,302.46,5.23,1,2023-03,30.46,1.2,1.86,0.48,6.99,12.17,"516003,"
Archidply Industries Ltd.,ARCHIDPLY,Wood & Wood Products,144.06,2,2023-03,82.55,222.67,2022-03,306.28,8.46,2,2023-03,11.81,,1.4,0.58,9.17,11.16,"ARCHIDPLY,"
Airo Lam Ltd.,AIROLAM,Laminates/Decoratives,135.69,2,2023-03,50.62,181.58,2022-03,168.9,6.56,2,2023-03,18.35,,2.12,0.9,12.38,12.57,"AIROLAM,"
Nitco Ltd.,NITCO,Ceramics/Marble/Granite/Sanitaryware,135.6,2,2023-03,879.72,1015.32,2022-03,410.61,-126.14,2,2023-03,0,,-0.39,-4.09,0,-9.54,"NITCO,"
ASI Industries Ltd.,502015,Ceramics/Marble/Granite/Sanitaryware,134.12,2,2023-03,29.25,157.39,2022-03,238.03,-55.9,1,2023-03,7.76,,0.61,0.53,-23.79,-11.67,"502015,"
Bheema Cements Ltd.,518017,Cement & Construction Materials,118.54,1,2023-03,199,317.54,2022-03,,-36.96,1,2023-03,0,,1.55,1.44,-26,-9.96,"518017,"
The Western Indian Plywoods Ltd.,WIPL,Laminates/Decoratives,115.64,2,2023-03,17.23,119.36,2022-03,99.73,0.21,2,2023-03,33.13,1.94,2.81,0.46,0.53,3.82,"WIPL,"
Keerthi Industries Ltd.,518011,Cement & Construction Materials,111.39,1,2023-03,64.95,172.02,2022-03,249.95,15.64,1,2023-03,0,0,1.4,0.34,19.34,23.1,"518011,"
Hindusthan National Glass & Industries Ltd.,HINDNATGLS,Glass,106.57,1,2023-03,2263.65,2145.3,2022-03,2097,-348.52,1,2023-03,0,,-0.11,-2.9,0,-13.9,"HINDNATGLS,"
Pacific Industries Ltd.,523483,Ceramics/Marble/Granite/Sanitaryware,91.88,2,2023-03,56.35,102.79,2022-03,283.56,15.92,2,2023-03,14.13,0.15,0.22,0.2,4.44,5.98,"523483,"
Barak Valley Cements Ltd.,BVCL,Cement & Construction Materials,78,2,2023-03,61.44,137.98,2022-03,175.7,-4.52,2,2023-03,14.99,0.59,0.69,0.72,-4.02,4.14,"BVCL,"
Lexus Granito (India) Ltd.,LEXUS,Ceramics/Marble/Granite/Sanitaryware,76.67,1,2023-03,68.59,145.01,2022-03,139.18,13.39,1,2023-03,0,0,2.73,1.85,53.97,20.21,"LEXUS,"
Marvel Decor Ltd.,MDL,Ceramics/Marble/Granite/Sanitaryware,74.38,2,2023-03,13.83,86.6,2022-03,41.22,1.56,1,2023-03,67.56,,1.54,0.25,3.56,6.09,"MDL,"
Divyashakti Ltd.,526315,Ceramics/Marble/Granite/Sanitaryware,73.13,1,2023-03,0.15,64.87,2022-03,62.83,7.15,1,2023-03,9.34,,0.59,0,6.23,8.28,"526315,"
Regency Ceramics Ltd.,REGENCERAM,Ceramics/Marble/Granite/Sanitaryware,71.1,1,2023-03,57.56,128.66,2022-03,,32.18,1,2023-03,0,0,-1.35,-1.55,0,121.58,"REGENCERAM,"
Aro Granite Industries Ltd.,AROGRANITE,Ceramics/Marble/Granite/Sanitaryware,65.25,1,2023-03,205.02,264.3,2022-03,224.74,8.91,1,2023-03,0,,0.34,1.01,4.64,4.98,"AROGRANITE,"
Elegant Marbles & Grani Industries Ltd.,526705,Ceramics/Marble/Granite/Sanitaryware,56.71,1,2023-03,0,54.65,2023-03,35.65,3.04,1,2023-03,18.66,23.1,0.54,0,2.87,3.99,"526705,"
Banaras Beads Ltd.,BANARBEADS,Glass,55.75,1,2023-03,0.29,54.93,2023-03,26.97,2.54,1,2023-06,24.02,1.85,1.05,0.01,4.87,7.6,"BANARBEADS,"
Pratik Panels Ltd.,526490,Wood & Wood Products,45.75,1,2023-03,0.04,45.78,2023-03,0.31,0.04,1,2023-03,0,0,8.29,0.01,1.57,2.69,"526490,"
Archidply Decor Ltd.,ADL,Wood & Wood Products,43.57,1,2023-03,15.48,58.77,2022-03,42,0.2,1,2023-03,59.77,,0.86,0.34,0.4,3.19,"ADL,"
Ecoboard Industries Ltd.,523732,Wood & Wood Products,42.07,1,2023-03,24.84,66.9,2022-03,34.72,2.14,1,2023-03,0,0,2.06,1.42,13.26,9.83,"523732,"
Milton Industries Ltd.,MILTON,Laminates/Decoratives,41.21,1,2023-03,16.47,57.68,2022-03,59.66,3.25,1,2023-03,14.36,0.51,1.03,0.22,8.43,11.23,"MILTON,"
Restile Ceramics Ltd.,515085,Ceramics/Marble/Granite/Sanitaryware,39.9,1,2023-03,39.15,79.05,2022-03,0.59,-6.05,1,2023-03,0,0,-1.34,-1.34,0,-46.3,"515085,"
Madhav Marbles And Granites Ltd.,MADHAV,Ceramics/Marble/Granite/Sanitaryware,38.13,2,2023-03,9.61,43.17,2022-03,53.36,0.46,2,2023-03,0,,0.3,0.06,0.36,0.99,"MADHAV,"
Burnpur Cement Ltd.,BURNPUR,Cement & Construction Materials,36.52,1,2023-03,517.1,551.2,2022-03,151.25,-58.98,1,2023-03,0,0,-0.1,-1.61,0,3.36,"BURNPUR,"
Ravileela Granites Ltd.,526095,Ceramics/Marble/Granite/Sanitaryware,33.48,1,2023-03,44.45,70.8,2022-03,31.01,1.6,1,2023-03,0,0,2.1,2.55,9.52,9.97,"526095,"
Deco-Mica Ltd.,531227,Laminates/Decoratives,27.3,1,2022-09,19.3,46.09,2022-03,71.71,2.02,1,2022-12,23.53,1.54,1.25,1,10.33,11.57,"531227,"
Hemadri Cements Ltd.,502133,Cement & Construction Materials,25.92,1,2023-03,11.54,34.61,2022-03,82.46,0.42,1,2023-03,0,,0.76,0.1,0.86,1.53,"502133,"
Triveni Glass Ltd.,502281,Glass,22.65,1,2023-06,19.07,41.72,2022-03,,-39.48,1,2023-06,12.69,,0.4,-0.99,0,-208.57,"502281,"
Marble City India Ltd.,531281,Ceramics/Marble/Granite/Sanitaryware,22.22,1,2023-03,62.49,84.71,2022-03,74.96,0.56,1,2023-03,28.86,7.31,0.75,1.84,1.95,6.71,"531281,"
Alfa Ica (India) Ltd.,530973,Laminates/Decoratives,20.98,1,2023-03,14.97,35.68,2022-03,79.98,1.63,1,2023-03,14.39,1.31,1.04,0.94,9.14,11.48,"530973,"
Oriental Trimex Ltd.,ORIENTALTL,Ceramics/Marble/Granite/Sanitaryware,17.76,1,2023-03,6.47,23.73,2022-03,18.53,-5.87,1,2023-03,0,,0.43,0.67,-12.64,-0.06,"ORIENTALTL,"
Jai Mata Glass Ltd.,523467,Glass,14.4,1,2023-03,0,14.39,2023-03,0.32,0.01,1,2023-06,0,,5.11,0,0.42,0.5,"523467,"
National Plywood Industries Ltd.,516062,Wood & Wood Products,12.62,1,2019-12,10.95,23.56,2019-03,39.82,0.72,1,2019-12,0,0,,-1.29,0,0,"516062,"
Shiva Granito Export Ltd.,540072,Ceramics/Marble/Granite/Sanitaryware,11.92,1,2023-03,4.13,16.05,2022-03,9.01,0.11,1,2022-03,113.49,,0.84,0.35,0.74,2.75,"540072,"
Suncare Traders Ltd.,539526,Laminates/Decoratives,11.11,2,2023-03,9.23,20.34,2022-03,11.28,0.68,1,2023-03,0,0,0.51,0.16,1.77,2.92,"539526,"
Midwest Gold Ltd.,526570,Ceramics/Marble/Granite/Sanitaryware,10.78,1,2023-03,25.12,35.9,2022-03,0.12,-1.62,1,2023-03,0,0,-0.52,-1.97,0,-14.43,"526570,"
VR Woodart Ltd.,523888,Wood & Wood Products,9.8,1,2023-03,1.92,11.72,2022-03,,-0.13,1,2023-03,0,,-5.15,-1.04,0,-438.21,"523888,"
Bloom Dekor Ltd.,526225,Wood & Wood Products,7.21,1,2023-03,12.14,19.22,2023-03,10.97,21.47,1,2023-03,0.34,,-1.53,-2.59,0,179.37,"526225,"
Jain Marmo Industries Ltd.,539119,Ceramics/Marble/Granite/Sanitaryware,7.14,1,2023-03,1.15,8.29,2021-03,1.45,-0.09,1,2023-03,67.98,,1.83,0.45,-2.29,1.4,"539119,"
Milestone Global Ltd.,531338,Cement & Construction Materials,7.05,2,2022-09,0.05,6.66,2022-03,18.6,0.73,1,2022-12,10.59,0.23,0.79,0.01,9.83,11.91,"531338,"
RCC Cements Ltd.,531825,Cement & Construction Materials,6.72,1,2023-03,,6.72,2022-03,0.04,-0.13,1,2023-03,0,,1.99,0,-3.6,-3.6,"531825,"
Glittek Granites Ltd.,513528,Ceramics/Marble/Granite/Sanitaryware,6.65,1,2023-03,22.03,28.68,2022-03,9.17,-2.31,1,2023-03,0,,0.62,1.73,-18.36,-3.25,"513528,"
Ambition Mica Ltd.,539223,Laminates/Decoratives,6.28,1,2023-03,32.51,38.79,2022-03,22.68,-36.53,1,2023-03,0,,-0.36,-2.4,-537.66,-99.91,"539223,"
Neelkanth Rockminerals Ltd.,531049,Ceramics/Marble/Granite/Sanitaryware,5.55,1,2023-03,0.12,5.58,2022-03,,0.23,1,2023-03,24.99,0.42,0.73,0,3.21,5.41,"531049,"
Mayur Floorings Ltd.,531221,Ceramics/Marble/Granite/Sanitaryware,4.82,1,2023-03,1.27,6.08,2022-03,4.63,0,1,2023-03,283.39,,1.05,0.25,-0.07,1.51,"531221,"
JIK Industries Ltd.,JIKIND,Glass,4.58,1,2023-03,7.1,11.68,2021-03,0.05,-0.01,2,2021-12,0,0,-0.19,-0.09,0,0,"JIKIND,"
Sri Vajra Granites Ltd.,515081,Ceramics/Marble/Granite/Sanitaryware,1.19,1,2021-09,3.14,4.32,2021-03,0,-0.07,1,2021-12,0,0,-0.24,-0.62,0,0,"515081,"
